City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Xai-Xai,MZ,75.65,clear sky,-25.0519,33.6442,Complexo da Familia
531,Gazanjyk,TM,76.32,clear sky,39.2446,55.5154,Railway motel
535,Bacolod,PH,77.88,overcast clouds,10.6667,122.95,Planta Hotel & Residences
538,Manali,IN,84.29,overcast clouds,13.1667,80.2667,Sarathy Lodge
547,Conde,BR,76.46,moderate rain,-7.2597,-34.9075,Pousada Beija Flor
550,Tchollire,CM,85.21,scattered clouds,8.4022,14.1698,"Auberge ""l'amicale"""
557,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
558,Blama,SL,77.14,light rain,7.8736,-11.3433,Beanageh Small Bo Chiefdom
559,Lubao,PH,77.07,overcast clouds,14.9167,120.55,Hacienda Gracia
562,Turbat,PK,79.54,clear sky,26.0023,63.044,Mubashar Quarters
565,Moerai,PF,81.19,overcast clouds,-22.4333,-151.3333,Le Manotel
566,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
567,San Ramon,US,80.82,clear sky,37.7799,-121.978,San Ramon Marriott
571,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
573,Bull Savanna,JM,81.36,scattered clouds,17.8868,-77.5902,Big Red's
577,Kirakira,SB,81.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
585,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
588,Upata,VE,80.71,overcast clouds,8.0086,-62.3989,Posada Villa Nela
589,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
590,Teknaf,BD,76.05,few clouds,20.8624,92.3058,Forestry Guesthouse
591,Ures,MX,85.78,scattered clouds,29.4333,-110.4,Hacienda Quinta Napoles
592,Buin,CL,78.06,clear sky,-33.7333,-70.75,Paihuen
596,Bosaso,SO,83.46,few clouds,11.2842,49.1816,Red Sea Hotel
597,Hounde,BF,90.75,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
600,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
609,Lakatoro,VU,77.05,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
610,Puerto Carreno,CO,96.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
611,Ca Mau,VN,76.82,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
612,Saltabarranca,MX,83.64,scattered clouds,18.6,-95.5333,Hotel Venecia
614,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
617,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
618,Sorong,ID,78.33,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
621,Tabas,IR,75.11,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
624,Sola,VU,79.48,overcast clouds,-13.8833,167.55,Leumerus Bungalows
625,Bambanglipuro,ID,75.7,light rain,-7.95,110.2833,Puri Brata
